1,2018-03-09,2018-03-17,3,969,13,1674,42817,813.12,2.0
2,2018-12-28,2018-12-29,2,884,13,1674,42795,543.18,3.0
3,2016-03-28,2016-03-31,2,1722,13,1674,42837,430.32,1.0
4,2017-10-23,2017-10-24,3,2876,13,1674,42834,818.84,2.0
5,2017-11-22,2017-11-25,2,678,13,1674,42825,554.18,3.0
6,2018-01-24,2018-01-25,2,3263,13,1674,42852,152.0,1.0
7,2015-03-25,2015-03-26,3,2983,13,1674,42939,2915.0,1.0
8,2017-07-10,2017-07-18,2,201,13,1674,42940,2162.0,2.0
9,2018-04-03,2018-04-06,2,1006,13,1674,42905,456.0,3.0
10,2019-03-16,2019-03-17,1,1003,13,1674,42894,515.0,2.0
11,2015-01-19,2015-01-27,3,430,13,1674,42998,529.0,3.0
12,2015-02-17,2015-02-18,1,2866,13,1674,42969,3839.0,2.0
13,2016-03-30,2016-04-02,3,1856,13,1674,42960,4125.0,1.0
14,2017-05-16,2017-05-24,2,460,13,1674,42987,456.0,2.0
15,2017-06-03,2017-06-11,2,519,13,1674,43010,387.0,2.0
16,2017-06-06,2017-06-09,2,587,13,1674,43015,483.0,2.0
17,2019-02-07,2019-02-08,2,1590,13,1674,42976,216.0,1.0
18,2019-02-14,2019-02-22,2,3029,13,1674,43010,387.0,3.0
19,2019-09-21,2019-09-22,3,2854,13,1674,42958,3763.0,2.0
20,2019-10-21,2019-10-24,2,667,13,1674,42992,570.0,30.0
21,2015-11-30,2015-12-03,3,353,13,1674,42797,4845.5,2.0
22,2017-06-21,2017-06-27,3,385,13,1674,42789,218.02,1.0
23,2018-04-04,2018-04-12,2,381,13,1674,42766,7011.62,2.0
24,2019-03-08,2019-03-16,2,1286,13,1674,42787,1366.42,2.0
25,2019-06-04,2019-06-07,2,1117,13,1674,42763,2118.38,1.0
26,2019-11-12,2019-11-21,2,273,13,1674,42754,1237.5,3.0
27,2016-05-27,2016-06-05,3,2716,13,1674,42876,560.0,1.0
28,2016-07-14,2016-07-17,3,926,13,1674,42830,486.42,2.0
29,2017-05-02,2017-05-11,2,430,13,1674,42879,560.0,1.0
30,2019-05-07,2019-05-16,1,2939,13,1674,42861,542.0,1.0
31,2019-08-19,2019-08-22,3,1270,13,1674,42859,610.0,1.0
32,2015-07-07,2015-07-13,3,1064,13,1674,42945,3210.0,2.0
33,2016-08-05,2016-08-11,3,2630,13,1674,42906,321.0,2.0
34,2018-08-16,2018-08-24,2,645,13,1674,42893,515.0,3.0
35,2015-12-29,2016-01-06,1,895,13,1674,43016,454.0,3.0
36,2016-01-28,2016-01-31,1,572,13,1674,42970,3001.0,2.0
37,2017-06-05,2017-06-11,3,649,13,1674,42975,215.0,2.0
38,2016-09-03,2016-09-09,1,364,13,1674,43033,1182.0,2.0
39,2016-12-24,2017-01-02,3,879,13,1674,43022,422.0,2.0
40,2017-03-28,2017-04-06,3,1117,13,1674,43026,530.0,2.0
41,2018-12-25,2018-12-31,1,3156,13,1674,43017,358.0,1.0
42,2015-01-08,2015-01-16,1,3013,13,1674,42758,1819.18,3.0
43,2015-03-16,2015-03-18,3,1388,13,1674,42785,1597.42,2.0
44,2015-06-09,2015-06-14,1,1088,13,1674,42800,1642.74,2.0
